Word Pair	Frequency	TF-IDF
মন - মন	3	10.3837
মন - বল	2	8.9148
আর - মন	2	7.9391
মন - করল	4	7.9040
পড় - মন	2	7.5063
মন - নয়	2	7.1236
মত - মন	2	6.9637
মন - আজ	2	6.7996
এখন - মন	2	6.4618
যখন - মন	2	6.3846
মন - তখন	2	6.3724
মন - হওয়া	12	5.1919
মন - আপনি	5	5.1919
মন - করা	9	5.1919
দেখা - মন	2	5.1919
তার - মন	6	5.1919
পরীক্ষা - মন	2	5.1919
করা - মন	3	5.1919
মন - দেওয়া	3	5.1919
মন - পড়া	2	5.1919
মন - চেষ্টা	4	5.1919
মন - কিছু	2	5.1919
মন - না	7	5.1919
মন - আপনার	2	5.1919
মন - ভেতর	2	5.1919
মন - একটি	3	5.1919
আগের - মন	2	5.1919
রাকিবুল - মন	9	5.1919
মন - প্রতিজ্ঞা	2	5.1919
মন - করল—সে	2	5.1919
মন - হাল	2	5.1919
মন - ছাড়	2	5.1919
হিয়ো - মন	5	5.1919
কথা - মন	6	5.1919
মন - মান	2	5.1919
মন - শেষ	2	5.1919
মন - নতুন	2	5.1919
মন - শুরু	3	5.1919
মন - অদ্ভূত	2	5.1919
মন - থাকা	2	5.1919
সম্ভব - মন	2	5.1919
মন - দিন	2	5.1919
আকাশ - মন	2	5.1919
দিক - মন	2	5.1919
তাকানো - মন	2	5.1919
মন - হিয়ো	4	5.1919
মৃদু - মন	2	5.1919
মন - ধন্যবাদ	2	5.1919
ভয় - আর	3	4.9098
আর - ভয়	2	4.9098
ওপর - আর	3	4.8014
মত - আর	3	4.5190
ওপর - আছ	3	4.4854
করল - মত	2	4.4839
ওপর - পড়	2	4.3686
আজ - করল	2	4.3198
এখন - আর	3	4.0172
আর - সফল	2	3.9809
বড় - আর	2	3.7272
আপনি - বল	2	3.7229
রাকিবুল - বল	4	3.7229
করা - বল	2	3.7229
হিয়ো - বল	4	3.7229
মৃদু - বল	3	3.7229
কোনো - বল	2	3.7229
বল - আপনি	2	3.7229
কথা - বল	2	3.7229
হঠ - করল	2	3.6828
ভয় - জয়	3	3.4911
ভয় - এখন	2	3.4326
মত - বড়	2	2.7519
কিছু - আর	2	2.7472
না - আর	2	2.7472
ধীর - আর	2	2.7472
তার - আর	2	2.7472
গুলো - আর	3	2.7472
আর - একটি	3	2.7472
