Word Pair	Frequency	TF-IDF
মন - বল	2	18.0557
বল - আছ	2	17.9417
বল - উপর	2	16.9816
বল - এর	2	16.1521
কী - বল	2	14.5909
আনিস - বল	2	14.5909
মিয়া - বল	2	14.5909
বল - বাড়ি	2	14.5909
বাবলা - বল	10	14.5909
বল - করা	2	14.5909
বল - কে	2	14.5909
লোক - বল	7	14.5909
গলা - বল	2	14.5909
বল - অন্য	2	14.5909
বল - হওয়া	2	14.5909
বল - না	3	14.5909
বল - আপনার	2	14.5909
কথা - বল	3	14.5909
বল - ভাল	2	14.5909
বল - মানুষ	4	14.5909
বল - আমার	3	14.5909
বল - সঙ্গে	2	14.5909
বল - যন্ত্র	3	14.5909
বল - আপনি	3	14.5909
বল - বুঝ	2	14.5909
বল - পারদ	2	14.5909
বল - যদি	2	14.5909
ভয়ে - বল	2	14.5909
হইয়েৎসুন - বল	2	14.5909
বল - ভাব	2	14.5909
বল - কথা	6	14.5909
মুখ - বল	2	14.5909
হাসা - বল	3	14.5909
থেমে - বল	2	14.5909
বল - কী	2	14.5909
বল - একা	2	14.5909
মন - মন	4	6.9296
মন - আছ	2	6.8156
মন - এখন	2	5.2248
মন - কথা	3	3.4648
মন - ভাব	2	3.4648
মন - খুব	2	3.4648
মন - দেওয়া	3	3.4648
মন - অংক	3	3.4648
মন - শিখ	3	3.4648
মন - যাতা	3	3.4648
মন - ধরনের	3	3.4648
মন - যন্ত্র	3	3.4648
মন - বানানো	3	3.4648
মন - আমার	2	3.4648
মন - পাগল	2	3.4648
মন - ছেলে	2	3.4648
মন - কোন	2	3.4648
মন - অন্ধকারে	2	3.4648
মন - একা	4	3.4648
মন - কে	2	3.4648
হাসা - মন	2	3.4648
কাছে - আছ	2	3.3508
একটি - আছ	3	3.3508
সঙ্গে - আছ	2	3.3508
কারন - আছ	2	3.3508
আমার - আছ	3	3.3508
যন্ত্র - আছ	2	3.3508
প্রাণ - আছ	3	3.3508
অনেক - আছ	2	3.3508
বুদ্ধিমান - আছ	2	3.3508
একা - আছ	2	3.3508
আর - যার	2	2.7808
না - আর	2	2.7808
আর - না	2	2.7808
ক্ষণ - গল	2	2.7083
বাবলা - গল	2	2.7083
করা - গল	3	2.7083
হাসা - গল	2	2.7083
ভয় - গল	3	2.7083
গল - হ	2	2.7083
বলা - গল	2	2.7083
এক - ঘণ্টা	2	2.6470
এক - কথা	3	2.6470
খাতা - উপর	4	2.3907
বেঞ্চ - উপর	3	2.3907
উপর - উঠে	2	2.3907
উপর - দাঁড়া	2	2.3907
উপর - দাঁড়ি	2	2.3907
লোক - উপর	2	2.3907
তীর - উপর	2	2.3907
গলা - উপর	2	2.3907
তার - উপর	2	2.3907
উপর - বড়	2	2.3907
ধীর - মত	2	2.0722
মত - করা	3	2.0722
মত - একটি	2	2.0722
বাবলা - এখন	2	1.7600
এখন - কথা	2	1.7600
তা - এখন	2	1.7600
লোক - এর	3	1.5612
কী - এর	2	1.5612
করা - এর	2	1.5612
এর - ভাব	2	1.5612
বাবলা - আট	2	1.3805
সাড়ে - আট	3	1.3805
আট - হওয়া	2	1.3805
বাবলা - রইল	3	1.3166
বাড়ি - রইল	2	1.3166
মুখ - রইল	2	1.3166
কালো - রইল	2	1.3166
করা - রইল	3	1.3166
রইল - একা	2	1.3166
একটি - আগ	2	1.2603
হারিকেন - আগ	2	1.2603
হাত - আগ	2	1.2603
আগ - আসা	2	1.2603
ধীর - থমথম	2	0.6721
যার - থমথম	2	0.6721
থমথম - লেন	2	0.6721
চট - করা	2	0.3295
এত - বড়	2	0.2080
অংক - খাতা	2	0.0000
বাবলা - সাড়ে	2	0.0000
খাতা - দেওয়া	2	0.0000
ধীর - যার	8	0.0000
বড় - বড়	2	0.0000
বড় - করা	4	0.0000
বড় - লিখে	2	0.0000
বড় - দিয়েছেন	2	0.0000
বড় - গবু	2	0.0000
বাবলা - খাতা	2	0.0000
স্বর - লেন	2	0.0000
বেঞ্চ - উঠে	2	0.0000
বেঞ্চ - দাঁড়া	2	0.0000
